Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00004_00000.ppm;64;64;6;6;58;58;4
00004_00001.ppm;64;64;6;6;58;58;4
00004_00002.ppm;64;64;6;6;58;58;4
00004_00003.ppm;64;64;6;6;58;58;4
00004_00004.ppm;64;64;6;6;58;58;4
00004_00005.ppm;64;64;6;6;58;58;4
00004_00006.ppm;64;64;6;6;58;58;4
00004_00007.ppm;64;64;6;6;58;58;4
00004_00008.ppm;64;64;6;6;58;58;4
00004_00009.ppm;64;64;6;6;58;58;4
00004_00010.ppm;64;64;6;6;58;58;4
00004_00011.ppm;64;64;6;6;58;58;4
00004_00012.ppm;64;64;6;6;58;58;4
00004_00013.ppm;64;64;6;6;58;58;4
00004_00014.ppm;64;64;6;6;58;58;4
00004_00015.ppm;64;64;6;6;58;58;4
00004_00016.ppm;64;64;6;6;58;58;4
00004_00017.ppm;64;64;6;6;58;58;4
00004_00018.ppm;64;64;6;6;58;58;4
00004_00019.ppm;64;64;6;6;58;58;4
00004_00020.ppm;64;64;6;6;58;58;4
00004_00021.ppm;64;64;6;6;58;58;4
00004_00022.ppm;64;64;6;6;58;58;4
00004_00023.ppm;64;64;6;6;58;58;4
00004_00024.ppm;64;64;6;6;58;58;4
00004_00025.ppm;64;64;6;6;58;58;4
00004_00026.ppm;64;64;6;6;58;58;4
00004_00027.ppm;64;64;6;6;58;58;4
00004_00028.ppm;64;64;6;6;58;58;4
00004_00029.ppm;64;64;6;6;58;58;4
00004_00030.ppm;64;64;6;6;58;58;4
00004_00031.ppm;64;64;6;6;58;58;4
00004_00032.ppm;64;64;6;6;58;58;4
00004_00033.ppm;64;64;6;6;58;58;4
00004_00034.ppm;64;64;6;6;58;58;4
00004_00035.ppm;64;64;6;6;58;58;4
00004_00036.ppm;64;64;6;6;58;58;4
00004_00037.ppm;64;64;6;6;58;58;4
00004_00038.ppm;64;64;6;6;58;58;4
00004_00039.ppm;64;64;6;6;58;58;4
00004_00040.ppm;64;64;6;6;58;58;4
00004_00041.ppm;64;64;6;6;58;58;4
00004_00042.ppm;64;64;6;6;58;58;4
00004_00043.ppm;64;64;6;6;58;58;4
00004_00044.ppm;64;64;6;6;58;58;4
00004_00045.ppm;64;64;6;6;58;58;4
00004_00046.ppm;64;64;6;6;58;58;4
00004_00047.ppm;64;64;6;6;58;58;4
00004_00048.ppm;64;64;6;6;58;58;4
00004_00049.ppm;64;64;6;6;58;58;4
