Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;64;64;6;6;58;58;0
00000_00001.ppm;64;64;6;6;58;58;0
00000_00002.ppm;64;64;6;6;58;58;0
00000_00003.ppm;64;64;6;6;58;58;0
00000_00004.ppm;64;64;6;6;58;58;0
00000_00005.ppm;64;64;6;6;58;58;0
00000_00006.ppm;64;64;6;6;58;58;0
00000_00007.ppm;64;64;6;6;58;58;0
00000_00008.ppm;64;64;6;6;58;58;0
00000_00009.ppm;64;64;6;6;58;58;0
00000_00010.ppm;64;64;6;6;58;58;0
00000_00011.ppm;64;64;6;6;58;58;0
00000_00012.ppm;64;64;6;6;58;58;0
00000_00013.ppm;64;64;6;6;58;58;0
00000_00014.ppm;64;64;6;6;58;58;0
00000_00015.ppm;64;64;6;6;58;58;0
00000_00016.ppm;64;64;6;6;58;58;0
00000_00017.ppm;64;64;6;6;58;58;0
00000_00018.ppm;64;64;6;6;58;58;0
00000_00019.ppm;64;64;6;6;58;58;0
00000_00020.ppm;64;64;6;6;58;58;0
00000_00021.ppm;64;64;6;6;58;58;0
00000_00022.ppm;64;64;6;6;58;58;0
00000_00023.ppm;64;64;6;6;58;58;0
00000_00024.ppm;64;64;6;6;58;58;0
00000_00025.ppm;64;64;6;6;58;58;0
00000_00026.ppm;64;64;6;6;58;58;0
00000_00027.ppm;64;64;6;6;58;58;0
00000_00028.ppm;64;64;6;6;58;58;0
00000_00029.ppm;64;64;6;6;58;58;0
00000_00030.ppm;64;64;6;6;58;58;0
00000_00031.ppm;64;64;6;6;58;58;0
00000_00032.ppm;64;64;6;6;58;58;0
00000_00033.ppm;64;64;6;6;58;58;0
00000_00034.ppm;64;64;6;6;58;58;0
00000_00035.ppm;64;64;6;6;58;58;0
00000_00036.ppm;64;64;6;6;58;58;0
00000_00037.ppm;64;64;6;6;58;58;0
00000_00038.ppm;64;64;6;6;58;58;0
00000_00039.ppm;64;64;6;6;58;58;0
00000_00040.ppm;64;64;6;6;58;58;0
00000_00041.ppm;64;64;6;6;58;58;0
00000_00042.ppm;64;64;6;6;58;58;0
00000_00043.ppm;64;64;6;6;58;58;0
00000_00044.ppm;64;64;6;6;58;58;0
00000_00045.ppm;64;64;6;6;58;58;0
00000_00046.ppm;64;64;6;6;58;58;0
00000_00047.ppm;64;64;6;6;58;58;0
00000_00048.ppm;64;64;6;6;58;58;0
00000_00049.ppm;64;64;6;6;58;58;0
