Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00002_00000.ppm;64;64;6;6;58;58;2
00002_00001.ppm;64;64;6;6;58;58;2
00002_00002.ppm;64;64;6;6;58;58;2
00002_00003.ppm;64;64;6;6;58;58;2
00002_00004.ppm;64;64;6;6;58;58;2
00002_00005.ppm;64;64;6;6;58;58;2
00002_00006.ppm;64;64;6;6;58;58;2
00002_00007.ppm;64;64;6;6;58;58;2
00002_00008.ppm;64;64;6;6;58;58;2
00002_00009.ppm;64;64;6;6;58;58;2
00002_00010.ppm;64;64;6;6;58;58;2
00002_00011.ppm;64;64;6;6;58;58;2
00002_00012.ppm;64;64;6;6;58;58;2
00002_00013.ppm;64;64;6;6;58;58;2
00002_00014.ppm;64;64;6;6;58;58;2
00002_00015.ppm;64;64;6;6;58;58;2
00002_00016.ppm;64;64;6;6;58;58;2
00002_00017.ppm;64;64;6;6;58;58;2
00002_00018.ppm;64;64;6;6;58;58;2
00002_00019.ppm;64;64;6;6;58;58;2
00002_00020.ppm;64;64;6;6;58;58;2
00002_00021.ppm;64;64;6;6;58;58;2
00002_00022.ppm;64;64;6;6;58;58;2
00002_00023.ppm;64;64;6;6;58;58;2
00002_00024.ppm;64;64;6;6;58;58;2
00002_00025.ppm;64;64;6;6;58;58;2
00002_00026.ppm;64;64;6;6;58;58;2
00002_00027.ppm;64;64;6;6;58;58;2
00002_00028.ppm;64;64;6;6;58;58;2
00002_00029.ppm;64;64;6;6;58;58;2
00002_00030.ppm;64;64;6;6;58;58;2
00002_00031.ppm;64;64;6;6;58;58;2
00002_00032.ppm;64;64;6;6;58;58;2
00002_00033.ppm;64;64;6;6;58;58;2
00002_00034.ppm;64;64;6;6;58;58;2
00002_00035.ppm;64;64;6;6;58;58;2
00002_00036.ppm;64;64;6;6;58;58;2
00002_00037.ppm;64;64;6;6;58;58;2
00002_00038.ppm;64;64;6;6;58;58;2
00002_00039.ppm;64;64;6;6;58;58;2
00002_00040.ppm;64;64;6;6;58;58;2
00002_00041.ppm;64;64;6;6;58;58;2
00002_00042.ppm;64;64;6;6;58;58;2
00002_00043.ppm;64;64;6;6;58;58;2
00002_00044.ppm;64;64;6;6;58;58;2
00002_00045.ppm;64;64;6;6;58;58;2
00002_00046.ppm;64;64;6;6;58;58;2
00002_00047.ppm;64;64;6;6;58;58;2
00002_00048.ppm;64;64;6;6;58;58;2
00002_00049.ppm;64;64;6;6;58;58;2
